,average_time_per_episode,total_training_time,average_reward_obtained_test,REWARD_THRESHOLD
0,0.0011858314543962479,189.73303270339966,1.8925,2.0
1,0.0011615173723962572,209.0731270313263,7.478,3.0
2,0.0011588046232859294,208.58483219146729,7.4185,4.0
3,0.0011744543671607971,211.40178608894348,7.542,5.0
4,0.001157253979312049,208.30571627616882,7.569,6.0
5,0.0011839623517460294,213.11322331428528,7.5965,7.0
6,0.0011628554715050591,209.31398487091064,7.611,7.5
