,average_time_per_episode,total_training_time,average_reward_obtained_test,GAMMA
0,0.0003182162443796794,57.278923988342285,7.517,0.8
1,0.0003514388256602817,63.25898861885071,7.639,0.85
2,0.0003354522506395976,60.38140511512756,7.775,0.9
3,0.0003517057882414924,63.30704188346863,7.508,0.95
4,0.00035372893942726985,63.67120909690857,7.475,0.99
